shooting	951,959	bn:00089349v	http://babelnet.org/rdf/s00089349v	null
call	963,967	bn:00084385v	http://babelnet.org/rdf/s00084385v	null
FIND	982,986	bn:00012940n	http://babelnet.org/rdf/s00012940n	null
developing	999,1009	bn:00086733v	http://babelnet.org/rdf/s00086733v	null
story	1010,1015	bn:00056857n	http://babelnet.org/rdf/s00056857n	http://dbpedia.org/resource/Narration
Stay	1018,1022	bn:00074077n	http://babelnet.org/rdf/s00074077n	null
WBBJ	1028,1032	bn:00750041n	http://babelnet.org/rdf/s00750041n	http://dbpedia.org/resource/WBBJ-TV
Eyewitness news	1035,1050	bn:00870826n	http://babelnet.org/rdf/s00870826n	http://dbpedia.org/resource/Eyewitness_News
details	1060,1067	bn:00026628n	http://babelnet.org/rdf/s00026628n	null
available	1083,1092	bn:00097846a	http://babelnet.org/rdf/s00097846a	null
